epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,6703.25,1.29767,0.70238,1.08404,0.83405,0.83307,0.83701,0.47577,1.597,0.82663,1.21099,0.0081784,0.0081784,0.0081784
94,6775.3,1.2955,0.70312,1.08403,0.85444,0.82543,0.84938,0.48229,1.59648,0.80472,1.21223,0.0081586,0.0081586,0.0081586
95,6848.45,1.29644,0.69108,1.0831,0.83974,0.82712,0.83604,0.471,1.62509,0.83169,1.22105,0.0081388,0.0081388,0.0081388
96,6920.16,1.30563,0.69536,1.08828,0.86598,0.80309,0.83764,0.4742,1.59727,0.81999,1.21743,0.008119,0.008119,0.008119
97,6991.44,1.29455,0.69323,1.0784,0.84841,0.82761,0.84559,0.47897,1.60228,0.83867,1.21233,0.0080992,0.0080992,0.0080992
98,7062.47,1.29101,0.70026,1.08419,0.84684,0.81226,0.84359,0.46625,1.60483,0.82341,1.21986,0.0080794,0.0080794,0.0080794
99,7134.02,1.28477,0.68444,1.07398,0.88132,0.8218,0.8552,0.48576,1.60426,0.79532,1.22311,0.0080596,0.0080596,0.0080596
100,7205.74,1.29467,0.69193,1.07557,0.85686,0.84283,0.85804,0.4821,1.61772,0.80007,1.23199,0.0080398,0.0080398,0.0080398
101,7278.71,1.26513,0.68636,1.07296,0.86679,0.85465,0.86708,0.48826,1.61329,0.76503,1.23482,0.00802,0.00802,0.00802
102,7351.04,1.28451,0.67995,1.07417,0.86398,0.82463,0.84747,0.476,1.60217,0.80091,1.21872,0.0080002,0.0080002,0.0080002
103,7424.26,1.26689,0.6707,1.06778,0.8628,0.82496,0.85029,0.47337,1.60685,0.80033,1.22241,0.0079804,0.0079804,0.0079804
104,7495.41,1.26984,0.67854,1.07435,0.84173,0.82506,0.83466,0.47767,1.59362,0.80186,1.21417,0.0079606,0.0079606,0.0079606
105,7567.19,1.27925,0.67536,1.08433,0.88145,0.83136,0.86505,0.48671,1.60222,0.76977,1.21109,0.0079408,0.0079408,0.0079408
106,7639.43,1.28074,0.68102,1.07933,0.8725,0.83134,0.85104,0.47964,1.59188,0.80623,1.20778,0.007921,0.007921,0.007921
107,7711.74,1.28232,0.67993,1.07219,0.86724,0.82482,0.85356,0.48905,1.59383,0.79504,1.21352,0.0079012,0.0079012,0.0079012
108,7783.75,1.26318,0.66747,1.06742,0.87552,0.83847,0.87167,0.48512,1.5981,0.76885,1.22193,0.0078814,0.0078814,0.0078814
109,7856.17,1.26053,0.66446,1.07232,0.88361,0.81305,0.85516,0.48863,1.62482,0.8006,1.225,0.0078616,0.0078616,0.0078616
110,7928.93,1.25659,0.67105,1.06298,0.86772,0.84858,0.86192,0.49481,1.57683,0.77151,1.21246,0.0078418,0.0078418,0.0078418
111,8001.69,1.25607,0.66395,1.067,0.88138,0.84287,0.86718,0.48957,1.59084,0.76235,1.22192,0.007822,0.007822,0.007822
112,8074.03,1.24569,0.6676,1.06305,0.87152,0.81854,0.84764,0.48543,1.59677,0.8058,1.22267,0.0078022,0.0078022,0.0078022
113,8147.13,1.27007,0.66552,1.08049,0.83134,0.82226,0.82661,0.46498,1.57775,0.82548,1.21479,0.0077824,0.0077824,0.0077824
114,8218.69,1.25755,0.65808,1.06091,0.85251,0.83736,0.84664,0.48283,1.59899,0.8071,1.2195,0.0077626,0.0077626,0.0077626
115,8291.72,1.23718,0.66583,1.06037,0.79902,0.82594,0.78688,0.44747,1.58405,0.88793,1.21846,0.0077428,0.0077428,0.0077428
116,8364.22,1.23095,0.65328,1.05696,0.85719,0.85244,0.85639,0.48904,1.58625,0.80076,1.20348,0.007723,0.007723,0.007723
117,8438.12,1.24476,0.66004,1.06007,0.86899,0.83525,0.86179,0.48864,1.59437,0.77612,1.23082,0.0077032,0.0077032,0.0077032
118,8511.04,1.2314,0.64932,1.06132,0.82047,0.81482,0.80673,0.45365,1.61115,0.86857,1.222,0.0076834,0.0076834,0.0076834
119,8583.76,1.23541,0.65245,1.05562,0.84353,0.81945,0.83473,0.47917,1.58821,0.82251,1.21147,0.0076636,0.0076636,0.0076636
120,8655.55,1.22962,0.65776,1.05824,0.86051,0.84951,0.86169,0.49357,1.56809,0.76701,1.21075,0.0076438,0.0076438,0.0076438
121,8731.17,1.23279,0.6479,1.05836,0.84616,0.83542,0.84097,0.48933,1.56161,0.79604,1.20269,0.007624,0.007624,0.007624
122,8802.8,1.23359,0.65168,1.05643,0.867,0.83994,0.8598,0.49169,1.57662,0.76971,1.20167,0.0076042,0.0076042,0.0076042
123,8876.62,1.22626,0.64975,1.0576,0.84011,0.82854,0.83766,0.48832,1.57395,0.8308,1.20998,0.0075844,0.0075844,0.0075844
124,8950.41,1.23262,0.64706,1.05556,0.82159,0.81705,0.81408,0.47174,1.58298,0.86067,1.21359,0.0075646,0.0075646,0.0075646
